;i;j;period;weight
220;Riani, Marco;McLachlan, Geoff;2;1.0
221;Riani, Marco;Meulman, Jacqueline;2;1.0
222;Riani, Marco;Murtagh, Fionn;2;1.0
223;Riani, Marco;Rocci, Roberto;2;1.0
224;Riani, Marco;Van Mechelen Iven;2;1.0
225;Riani, Marco;Paula Brito;2;1.0
226;Riani, Marco;Alain Guenoche;2;1.0
227;Riani, Marco;Rudolf Kruse;2;1.0
228;Riani, Marco;Vichi, Maurizio;2;1.0
229;Riani, Marco;Wolfgang A. Gaul;2;2.0
230;Riani, Marco;Edvin Diday;2;1.0
231;Rocci, Roberto;Kiers, Henk;2;1.0
232;Rocci, Roberto;Vichi, Maurizio;2;1.0
233;Tibshirani, Robert;Hastie, Trevor;2;5.0
234;Tibshirani, Robert;McLachlan, Geoff;2;1.0
235;Tibshirani, Robert;Adrian Raftery;2;1.0
236;Van Mechelen Iven;Hastie, Trevor;2;1.0
237;Van Mechelen Iven;Kiers, Henk;2;2.0
238;Van Mechelen Iven;Tibshirani, Robert;2;2.0
239;Van Mechelen Iven;Renato Coppi;2;1.0
240;Van Mechelen Iven;Alain Guenoche;2;1.0
241;Van Mechelen Iven;Adrian Raftery;2;2.0
242;Gilles Celeux;Hastie, Trevor;2;1.0
243;Gilles Celeux;Kiers, Henk;2;1.0
244;Gilles Celeux;Tibshirani, Robert;2;1.0
245;Gilles Celeux;Paula Brito;2;1.0
246;Gilles Celeux;Adrian Raftery;2;1.0
247;Renato Coppi;Vichi, Maurizio;2;1.0
248;Renato Coppi;Gilbert Saporta;2;1.0
249;Alain Guenoche;Kiers, Henk;2;1.0
250;Alain Guenoche;Makarenkov, Vladimir;2;2.0
251;Alain Guenoche;Mirkin, Boris;2;1.0
252;Rudolf Kruse;Wolfgang A. Gaul;2;1.0
253;Verde, Rosanna;De Carvalho, Francisco De Assis Tenhorio;2;2.0
254;Verde, Rosanna;Kiers, Henk;2;1.0
255;Verde, Rosanna;Gilles Celeux;2;1.0
256;Verde, Rosanna;Vichi, Maurizio;2;2.0
257;Verde, Rosanna;Gilbert Saporta;2;1.0
258;Verde, Rosanna;Edvin Diday;2;1.0
259;Verde, Rosanna;Adrian Raftery;2;1.0
260;Vichi, Maurizio;Murtagh, Fionn;2;1.0
261;Vichi, Maurizio;Edvin Diday;2;1.0
262;Wojtek J Krzanowski;Braak, Cajo ter;2;1.0
263;Wojtek J Krzanowski;Ferligoj, Anuska;2;1.0
264;Wojtek J Krzanowski;Hastie, Trevor;2;2.0
265;Wojtek J Krzanowski;Kiers, Henk;2;1.0
266;Wojtek J Krzanowski;Makarenkov, Vladimir;2;1.0
267;Wojtek J Krzanowski;McLachlan, Geoff;2;1.0
268;Wojtek J Krzanowski;Meulman, Jacqueline;2;1.0
269;Wojtek J Krzanowski;Murtagh, Fionn;2;1.0
270;Wojtek J Krzanowski;Tibshirani, Robert;2;1.0
271;Wojtek J Krzanowski;Gilles Celeux;2;1.0
272;Gilbert Saporta;Makarenkov, Vladimir;2;1.0
273;Gilbert Saporta;Meulman, Jacqueline;2;1.0
274;Gilbert Saporta;Murtagh, Fionn;2;1.0
275;Edvin Diday;Bertrand, Patrice;2;1.0
276;Edvin Diday;Kiers, Henk;2;1.0
277;Edvin Diday;Palumbo, Francesco;2;1.0
278;Edvin Diday;Paula Brito;2;2.0
279;Edvin Diday;Gilles Celeux;2;1.0
280;Edvin Diday;Verde, Rosanna;2;1.0
281;Edvin Diday;Vichi, Maurizio;2;1.0
282;Adrian Raftery;Hastie, Trevor;2;2.0
283;Adrian Raftery;McLachlan, Geoff;2;1.0
284;Adrian Raftery;Murtagh, Fionn;2;1.0
285;Adrian Raftery;Tibshirani, Robert;2;2.0
286;Adrian Raftery;Gilles Celeux;2;1.0
287;Adrian Raftery;Edvin Diday;2;1.0
288;Batagelj, Vladimir;De Carvalho, Francisco De Assis Tenhorio;3;1.0
289;Batagelj, Vladimir;Ferligoj, Anuska;3;5.0
290;Batagelj, Vladimir;Groenen, Patrick J.F.;3;2.0
291;Batagelj, Vladimir;Jajuga, Krzysztof;3;1.0
292;Batagelj, Vladimir;Kiers, Henk;3;1.0
293;Batagelj, Vladimir;Mirkin, Boris;3;1.0
294;Batagelj, Vladimir;Murtagh, Fionn;3;2.0
295;Batagelj, Vladimir;Paula Brito;3;1.0
296;Batagelj, Vladimir;Verde, Rosanna;3;1.0
297;Batagelj, Vladimir;Vichi, Maurizio;3;3.0
298;Batagelj, Vladimir;Wolfgang A. Gaul;3;1.0
299;Batagelj, Vladimir;Edvin Diday;3;3.0
300;Bertrand, Patrice;Mirkin, Boris;3;1.0
301;Bertrand, Patrice;Edvin Diday;3;1.0
302;Bodjanova, Slavka;Jajuga, Krzysztof;3;1.0
303;Bodjanova, Slavka;Rudolf Kruse;3;1.0
304;Braak, Cajo ter;Tibshirani, Robert;3;3.0
305;Braak, Cajo ter;Adrian Raftery;3;1.0
306;De Carvalho, Francisco De Assis Tenhorio;Jajuga, Krzysztof;3;1.0
307;De Carvalho, Francisco De Assis Tenhorio;Tibshirani, Robert;3;1.0
308;De Carvalho, Francisco De Assis Tenhorio;Paula Brito;3;1.0
309;De Carvalho, Francisco De Assis Tenhorio;Gilles Celeux;3;1.0
310;De Carvalho, Francisco De Assis Tenhorio;Verde, Rosanna;3;2.0
311;De Carvalho, Francisco De Assis Tenhorio;Vichi, Maurizio;3;1.0
312;Ferligoj, Anuska;Batagelj, Vladimir;3;2.0
313;Ferligoj, Anuska;Hastie, Trevor;3;1.0
314;Ferligoj, Anuska;Jajuga, Krzysztof;3;1.0
315;Ferligoj, Anuska;Murtagh, Fionn;3;1.0
316;Ferligoj, Anuska;Wojtek J Krzanowski;3;1.0
317;Geyer-Schulz, Andreas;Wolfgang A. Gaul;3;4.0
318;Gorban, Alexander N;Hastie, Trevor;3;2.0
319;Groenen, Patrick J.F.;Bertrand, Patrice;3;1.0
320;Groenen, Patrick J.F.;Jajuga, Krzysztof;3;1.0
321;Groenen, Patrick J.F.;McLachlan, Geoff;3;1.0
322;Groenen, Patrick J.F.;Meulman, Jacqueline;3;5.0
323;Groenen, Patrick J.F.;Murtagh, Fionn;3;1.0
324;Groenen, Patrick J.F.;Rudolf Kruse;3;1.0
325;Groenen, Patrick J.F.;Wolfgang A. Gaul;3;1.0
326;Groenen, Patrick J.F.;Wojtek J Krzanowski;3;2.0
327;Groenen, Patrick J.F.;Edvin Diday;3;2.0
328;Hastie, Trevor;Braak, Cajo ter;3;1.0
329;Hastie, Trevor;Wolfgang A. Gaul;3;1.0
330;Hastie, Trevor;Wojtek J Krzanowski;3;1.0
331;Hastie, Trevor;Edvin Diday;3;1.0
332;Hastie, Trevor;Adrian Raftery;3;3.0
333;Hennig, Christian;Groenen, Patrick J.F.;3;2.0
334;Hennig, Christian;Hastie, Trevor;3;1.0
335;Hennig, Christian;Jajuga, Krzysztof;3;1.0
336;Hennig, Christian;Kiers, Henk;3;2.0
337;Hennig, Christian;McLachlan, Geoff;3;3.0
338;Hennig, Christian;Tibshirani, Robert;3;1.0
339;Hennig, Christian;Wolfgang A. Gaul;3;2.0
340;Hennig, Christian;Wojtek J Krzanowski;3;1.0
341;Hennig, Christian;Adrian Raftery;3;2.0
342;Hruschka, Harald;Hastie, Trevor;3;1.0
343;Hruschka, Harald;Tibshirani, Robert;3;1.0
344;Hruschka, Harald;Wolfgang A. Gaul;3;1.0
345;Hruschka, Harald;Adrian Raftery;3;1.0
346;Jajuga, Krzysztof;Groenen, Patrick J.F.;3;1.0
347;Jajuga, Krzysztof;McLachlan, Geoff;3;1.0
348;Jajuga, Krzysztof;Meulman, Jacqueline;3;1.0
349;Jajuga, Krzysztof;Vichi, Maurizio;3;1.0
350;Jajuga, Krzysztof;Wolfgang A. Gaul;3;1.0
351;Kiers, Henk;Groenen, Patrick J.F.;3;1.0
352;Kiers, Henk;Hastie, Trevor;3;1.0
353;Kiers, Henk;Lausen, Berthold;3;1.0
354;Kiers, Henk;Rocci, Roberto;3;2.0
355;Kiers, Henk;Tibshirani, Robert;3;4.0
356;Kiers, Henk;Van Mechelen Iven;3;3.0
357;Kiers, Henk;Renato Coppi;3;1.0
358;Kiers, Henk;Vichi, Maurizio;3;1.0
359;Kiers, Henk;Wojtek J Krzanowski;3;1.0
360;Kiers, Henk;Edvin Diday;3;1.0
361;Kuntz, Pascale;Bertrand, Patrice;3;2.0
362;Kuntz, Pascale;Groenen, Patrick J.F.;3;1.0
363;Kuntz, Pascale;Alain Guenoche;3;1.0
364;Kuntz, Pascale;Wolfgang A. Gaul;3;1.0
365;Kuntz, Pascale;Edvin Diday;3;2.0
366;Lausen, Berthold;Groenen, Patrick J.F.;3;2.0
367;Lausen, Berthold;Hastie, Trevor;3;1.0
368;Lausen, Berthold;Jajuga, Krzysztof;3;3.0
369;Lausen, Berthold;Kiers, Henk;3;2.0
370;Lausen, Berthold;Tibshirani, Robert;3;5.0
371;Leisch, Friedrich;Hastie, Trevor;3;2.0
372;Leisch, Friedrich;Hennig, Christian;3;1.0
373;Leisch, Friedrich;Lausen, Berthold;3;1.0
374;Leisch, Friedrich;Tibshirani, Robert;3;1.0
375;Leisch, Friedrich;Rudolf Kruse;3;1.0
376;Makarenkov, Vladimir;Bertrand, Patrice;3;1.0
377;Makarenkov, Vladimir;Braak, Cajo ter;3;1.0
378;Makarenkov, Vladimir;Groenen, Patrick J.F.;3;4.0
379;Makarenkov, Vladimir;Jajuga, Krzysztof;3;1.0
380;Makarenkov, Vladimir;Kiers, Henk;3;4.0
381;Makarenkov, Vladimir;Lausen, Berthold;3;1.0
382;Makarenkov, Vladimir;Mirkin, Boris;3;3.0
383;Makarenkov, Vladimir;Alain Guenoche;3;4.0
384;Makarenkov, Vladimir;Edvin Diday;3;1.0
385;McLachlan, Geoff;Hastie, Trevor;3;2.0
386;McLachlan, Geoff;Hennig, Christian;3;1.0
